Month,Price,Change
Feb 2020,"32,151.88",-0.05%
Mar 2020,"36,712.20",14.18%
Apr 2020,"42,970.73",17.05%
May 2020,"38,586.54",-10.20%
Jun 2020,"39,368.51",2.03%
Jul 2020,"36,008.72",-8.53%
Aug 2020,"37,709.32",4.72%
Sep 2020,"37,263.92",-1.18%
Oct 2020,"34,606.78",-7.13%
Nov 2020,"36,316.92",4.94%
Dec 2020,"38,302.08",5.47%
Jan 2021,"39,843.59",4.02%
Feb 2021,"40,530.48",1.72%
Mar 2021,"38,216.22",-5.71%
Apr 2021,"36,837.14",-3.61%
May 2021,"36,165.59",-1.82%
Jun 2021,"34,278.15",-5.22%
Jul 2021,"30,851.69",-10.00%
Aug 2021,"29,894.25",-3.10%
Sep 2021,"29,446.01",-1.50%
Oct 2021,"30,036.28",2.00%
Nov 2021,"29,793.23",-0.81%
Dec 2021,"30,215.71",1.42%
Jan 2022,"31,789.44",5.21%
Feb 2022,"32,038.75",0.78%
Mar 2022,"32,175.17",0.43%
Apr 2022,"32,834.34",2.05%
May 2022,"35,871.45",9.25%
Jun 2022,"34,666.77",-3.36%
Jul 2022,"33,280.86",-4.00%
Aug 2022,"34,288.23",3.03%
Sep 2022,"35,228.72",2.74%
Oct 2022,"35,485.46",0.73%
Nov 2022,"36,004.19",1.46%
Dec 2022,"38,462.74",6.83%
Jan 2023,"42,336.61",10.07%
Feb 2023,"40,641.29",-4.00%
Mar 2023,"39,171.16",-3.62%
Apr 2023,"41,092.41",4.90%
May 2023,"41,989.83",2.18%
Jun 2023,"42,276.60",0.68%
Jul 2023,"44,950.70",6.33%
Aug 2023,"52,568.72",16.95%
Sep 2023,"51,496.28",-2.04%
Oct 2023,"49,108.26",-4.64%
Nov 2023,"49,807.93",1.42%
Dec 2023,"53,644.79",7.70%
Jan 2024,"54,866.50",2.28%
Feb 2024,"51,769.31",-5.64%
Mar 2024,"50,877.55",-1.72%
Apr 2024,"49,375.36",-2.95%
