Month,Price,Change
Sep 2015,37.71,3.13%
Oct 2015,34.57,-8.33%
Nov 2015,30.95,-10.46%
Dec 2015,26.97,-12.86%
Jan 2016,28.18,4.49%
Feb 2016,31.96,13.40%
Mar 2016,37.69,17.92%
Apr 2016,40.49,7.45%
May 2016,36.87,-8.94%
Jun 2016,34.97,-5.16%
Jul 2016,38.49,10.05%
Aug 2016,40.76,5.90%
Sep 2016,38.57,-5.37%
Oct 2016,39.45,2.27%
Nov 2016,49.36,25.14%
Dec 2016,54.33,10.07%
Jan 2017,54.77,0.80%
Feb 2017,60.02,9.59%
Mar 2017,57.77,-3.74%
Apr 2017,45.30,-21.59%
May 2017,40.22,-11.23%
Jun 2017,37.04,-7.90%
Jul 2017,43.65,17.86%
Aug 2017,48.66,11.47%
Sep 2017,46.11,-5.24%
Oct 2017,40.13,-12.96%
Nov 2017,41.67,3.84%
Dec 2017,46.42,11.38%
Jan 2018,48.59,4.68%
Feb 2018,49.86,2.63%
Mar 2018,45.73,-8.28%
Apr 2018,43.17,-5.60%
May 2018,44.65,3.41%
Jun 2018,44.09,-1.24%
Jul 2018,44.35,0.59%
Aug 2018,46.69,5.27%
Sep 2018,49.48,5.97%
Oct 2018,54.04,9.22%
Nov 2018,52.62,-2.64%
Dec 2018,48.99,-6.90%
Jan 2019,53.88,10.00%
Feb 2019,62.82,16.58%
Mar 2019,60.08,-4.36%
Apr 2019,65.05,8.28%
May 2019,69.89,7.44%
Jun 2019,75.65,8.23%
Jul 2019,82.73,9.37%
Aug 2019,66.22,-19.96%
Sep 2019,66.40,0.27%
Oct 2019,62.90,-5.26%
Nov 2019,60.70,-3.50%
Dec 2019,65.96,8.66%
Jan 2020,68.30,3.56%
Feb 2020,62.65,-8.28%
Mar 2020,66.13,5.57%
Apr 2020,64.56,-2.39%
May 2020,70.86,9.76%
Jun 2020,78.21,10.38%
Jul 2020,81.41,4.10%
Aug 2020,90.41,11.05%
Sep 2020,90.95,0.61%
Oct 2020,88.01,-3.24%
Nov 2020,92.36,4.94%
Dec 2020,114.49,23.96%
Jan 2021,124.01,8.32%
Feb 2021,119.19,-3.89%
Mar 2021,122.42,2.71%
Apr 2021,133.83,9.32%
May 2021,152.38,13.86%
Jun 2021,157.73,3.51%
Jul 2021,159.58,1.17%
Aug 2021,120.29,-24.62%
Sep 2021,91.67,-23.80%
Oct 2021,92.06,0.43%
Nov 2021,71.68,-22.14%
Dec 2021,88.35,23.25%
Jan 2022,98.67,11.68%
Feb 2022,107.18,8.62%
Mar 2022,115.95,8.18%
Apr 2022,115.22,-0.62%
May 2022,101.44,-11.97%
Jun 2022,102.08,0.63%
Jul 2022,86.44,-15.32%
Aug 2022,86.60,0.18%
Sep 2022,80.10,-7.51%
Oct 2022,76.21,-4.85%
Nov 2022,76.38,0.22%
Dec 2022,92.11,20.60%
Jan 2023,100.09,8.66%
Feb 2023,105.40,5.31%
Mar 2023,105.64,0.22%
Apr 2023,96.28,-8.86%
May 2023,86.57,-10.09%
Jun 2023,93.31,7.78%
Jul 2023,94.03,0.77%
Aug 2023,91.23,-2.98%
Sep 2023,100.48,10.14%
Oct 2023,99.02,-1.45%
Nov 2023,109.17,10.25%
Dec 2023,114.16,4.57%
Jan 2024,112.91,-1.10%
Feb 2024,103.20,-8.60%
Mar 2024,91.12,-11.70%
Apr 2024,94.04,3.20%
